Geography,Category,Unit per million,year,per million
Asia Pacific,Consumer Expenditure on Health Goods and Medical Services,USD,2016,632693.6
Azerbaijan,Consumer Expenditure on Health Goods and Medical Services,AZN,2016,1727.0
Bangladesh,Consumer Expenditure on Health Goods and Medical Services,BDT,2016,319453.8
Cambodia,Consumer Expenditure on Health Goods and Medical Services,KHR,2016,3988153.5
China,Consumer Expenditure on Health Goods and Medical Services,CNY,2016,2189639.3
"Hong Kong, China",Consumer Expenditure on Health Goods and Medical Services,HKD,2016,79984.0
India,Consumer Expenditure on Health Goods and Medical Services,INR,2016,4109048.6
Indonesia,Consumer Expenditure on Health Goods and Medical Services,IDR,2016,196473457.9
Japan,Consumer Expenditure on Health Goods and Medical Services,JPY,2016,10995037.8
Kazakhstan,Consumer Expenditure on Health Goods and Medical Services,KZT,2016,1111940.7
Laos,Consumer Expenditure on Health Goods and Medical Services,LAK,2016,2140239.3
Malaysia,Consumer Expenditure on Health Goods and Medical Services,MYR,2016,18831.0
Myanmar,Consumer Expenditure on Health Goods and Medical Services,MMK,2016,1187097.1
Pakistan,Consumer Expenditure on Health Goods and Medical Services,PKR,2016,1255302.5
Philippines,Consumer Expenditure on Health Goods and Medical Services,PHP,2016,305006.5
Singapore,Consumer Expenditure on Health Goods and Medical Services,SGD,2016,11248.8
South Korea,Consumer Expenditure on Health Goods and Medical Services,KRW,2016,39496095.0
Sri Lanka,Consumer Expenditure on Health Goods and Medical Services,LKR,2016,233233.2
Taiwan,Consumer Expenditure on Health Goods and Medical Services,TWD,2016,355567.6
Thailand,Consumer Expenditure on Health Goods and Medical Services,THB,2016,378315.8
Turkmenistan,Consumer Expenditure on Health Goods and Medical Services,TMT,2016,712.0
Uzbekistan,Consumer Expenditure on Health Goods and Medical Services,UZS,2016,7862557.9
Vietnam,Consumer Expenditure on Health Goods and Medical Services,VND,2016,161969514.0
Australasia,Consumer Expenditure on Health Goods and Medical Services,USD,2016,49265.4
Australia,Consumer Expenditure on Health Goods and Medical Services,AUD,2016,62806.4
New Zealand,Consumer Expenditure on Health Goods and Medical Services,NZD,2016,4096.4
Eastern Europe,Consumer Expenditure on Health Goods and Medical Services,USD,2016,69954.3
Belarus,Consumer Expenditure on Health Goods and Medical Services,BYN,2016,1829.2
Bosnia and Herzegovina,Consumer Expenditure on Health Goods and Medical Services,BAM,2016,966.7
Bulgaria,Consumer Expenditure on Health Goods and Medical Services,BGN,2016,3912.5
Croatia,Consumer Expenditure on Health Goods and Medical Services,HRK,2016,10271.0
Czech Republic,Consumer Expenditure on Health Goods and Medical Services,CZK,2016,58077.0
Estonia,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,371.0
Georgia,Consumer Expenditure on Health Goods and Medical Services,GEL,2016,3387.1
Hungary,Consumer Expenditure on Health Goods and Medical Services,HuF,2016,801564.8
Latvia,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,711.4
Lithuania,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,1111.9
Montenegro,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,80.0
North Macedonia,Consumer Expenditure on Health Goods and Medical Services,MKD,2016,7436.0
Poland,Consumer Expenditure on Health Goods and Medical Services,PLN,2016,60442.5
Romania,Consumer Expenditure on Health Goods and Medical Services,RON,2016,27601.4
Russia,Consumer Expenditure on Health Goods and Medical Services,RUB,2016,1729159.6
Serbia,Consumer Expenditure on Health Goods and Medical Services,RSD,2016,125482.0
Slovakia,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,1111.2
Slovenia,Consumer Expenditure on Health Goods and Medical Services,EUR,2016,872.7
Ukraine,Consumer Expenditure on Health Goods and Medical Services,UAH,2016,81642.3
Latin America,Consumer Expenditure on Health Goods and Medical Services,USD,2016,211685.0
Argentina,Consumer Expenditure on Health Goods and Medical Services,ARS,2016,302322.0
Bolivia,Consumer Expenditure on Health Goods and Medical Services,BOB,2016,5103.2
Brazil,Consumer Expenditure on Health Goods and Medical Services,BRL,2016,327974.8
Chile,Consumer Expenditure on Health Goods and Medical Services,CLP,2016,7896186.5
Colombia,Consumer Expenditure on Health Goods and Medical Services,COP,2016,45375000.0
Costa Rica,Consumer Expenditure on Health Goods and Medical Services,CRC,2016,952424.2
Dominican Republic,Consumer Expenditure on Health Goods and Medical Services,DOP,2016,89401.9
Ecuador,Consumer Expenditure on Health Goods and Medical Services,USD,2016,4109.5
El Salvador,Consumer Expenditure on Health Goods and Medical Services,USD,2016,1125.4
Guatemala,Consumer Expenditure on Health Goods and Medical Services,GTQ,2016,17080.5
Honduras,Consumer Expenditure on Health Goods and Medical Services,HNL,2016,18958.8
Mexico,Consumer Expenditure on Health Goods and Medical Services,MXN,2016,471547.9
Panama,Consumer Expenditure on Health Goods and Medical Services,PAB,2016,3859.0
Paraguay,Consumer Expenditure on Health Goods and Medical Services,PYG,2016,5946523.6
